mainstat,sex,marstat,national_summary_x1,national_summary_x3,national_summary,hatlevel,hatfield,ageclass,familytype_summary,region
7,2,2,,1,1,600,,8,2,1
1,1,2,,1,1,600,,11,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,2,2,1
9,2,1,,1,1,999,9999,2,2,1
9,2,1,,1,1,999,9999,1,2,1
9,2,1,,1,1,999,9999,1,2,1
1,1,1,,1,1,100,9999,13,9,1
1,1,1,,1,1,100,9999,14,9,1
4,2,2,,1,1,200,9999,13,1,2
1,1,2,,1,1,304,0,13,1,2
1,2,1,,1,1,304,0,7,3,2
9,1,1,,1,1,999,9999,3,3,2
4,1,2,,1,1,304,0,14,1,1
4,2,2,,1,1,500,700,15,1,1
7,2,2,,1,1,100,9999,13,2,2
1,1,2,,1,1,100,9999,14,2,2
1,1,1,,1,1,304,0,6,2,2
7,2,3,,1,1,100,9999,15,3,1
2,1,1,,1,1,200,9999,10,3,1
5,1,1,,1,1,200,9999,10,3,1
1,2,2,,1,1,304,0,10,2,2
1,1,2,,1,1,304,0,12,2,2
3,2,1,,1,1,100,9999,4,2,2
9,1,1,,1,1,999,9999,2,2,2
4,1,2,,1,1,500,420,14,1,1
4,2,2,,1,1,304,0,14,1,1
1,2,2,,1,1,304,0,10,2,1
1,1,2,,1,1,304,0,10,2,1
9,2,1,,1,1,999,9999,3,2,1
9,1,1,,1,1,999,9999,2,2,1
2,2,4,,1,1,304,0,10,3,1
3,2,1,,1,1,200,9999,4,3,1
9,1,1,,1,1,999,9999,2,3,1
1,2,3,,1,1,100,9999,12,9,2
7,2,2,,1,1,200,9999,11,1,2
1,1,2,,1,1,100,9999,11,1,2
1,1,2,,1,1,700,300,10,2,2
1,2,2,,1,1,400,300,10,2,2
3,2,1,,1,1,200,9999,4,2,2
9,2,1,,1,1,999,9999,3,2,2
9,2,1,,1,1,999,9999,3,2,2
1,1,2,,1,1,200,9999,11,2,1
7,2,2,,1,1,500,300,9,2,1
3,2,1,,1,1,200,9999,4,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,3,2,1
9,2,1,,1,1,999,9999,1,2,1
7,2,2,,1,1,400,300,14,1,2
1,1,2,,1,1,100,9999,14,1,2
4,1,3,,1,1,100,9999,14,9,1
5,1,4,,2,2,600,500,10,9,1
4,1,1,,1,1,200,9999,13,9,1
4,1,2,,1,1,500,800,13,1,1
7,2,2,,1,1,304,0,12,1,1
1,1,1,,1,1,100,9999,15,9,1
4,1,3,,1,1,100,9999,16,9,2
4,1,1,,1,1,100,9999,18,9,2
1,1,2,,1,1,200,9999,13,1,2
7,2,2,,6,6,600,300,9,1,2
1,1,1,,1,1,200,9999,7,9,2
